name,artist,album,release_date,spotify_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Talking to Myself - One More Light Live,Linkin Park,One More Light Live,2017-12-15,1DVXrmuh4umsD96KRTsGHl,56,0.00739,0.466,316533,0.725,0.00728,2,0.722,-7.79,0,0.0568,124.013,0.342
Burn It Down - One More Light Live,Linkin Park,One More Light Live,2017-12-15,0zKs47fghFBtrEpxyUR1Wz,55,0.0639,0.658,253573,0.781,0,9,0.485,-6.472,0,0.0509,110.008,0.542
Battle Symphony - One More Light Live,Linkin Park,One More Light Live,2017-12-15,7mXJEniTl79NSO50M2HjBU,53,0.0843,0.577,225133,0.915,2.03e-05,10,0.38,-4.964,1,0.0465,74.506,0.656
New Divide - One More Light Live,Linkin Park,One More Light Live,2017-12-15,6dWGJ5acTiipYqVpNyOTKd,54,0.00029,0.463,270560,0.87,1.66e-06,5,0.701,-5.955,0,0.0473,117.945,0.26
Invisible - One More Light Live,Linkin Park,One More Light Live,2017-12-15,5BXGP4IsPuXSVNQYZLQCuD,52,0.168,0.535,270187,0.657,2.09e-06,1,0.906,-9.407,0,0.105,84.918,0.3
Nobody Can Save Me - One More Light Live,Linkin Park,One More Light Live,2017-12-15,6LYZAzd9FoPEecenhggMsy,51,0.461,0.544,239987,0.678,1.32e-06,11,0.994,-7.962,1,0.0618,69.981,0.487
One More Light - One More Light Live,Linkin Park,One More Light Live,2017-12-15,1r8qywTSOGQvFxQnzcyiBj,55,0.644,0.254,259387,0.298,4.33e-05,8,0.985,-12.873,1,0.0334,168.253,0.0883
Crawling - One More Light Live,Linkin Park,One More Light Live,2017-12-15,0w4ZwKHHEkXtvHMNUjFPdB,59,0.832,0.289,209493,0.303,0,1,0.866,-12.032,1,0.0382,146.651,0.208
Leave Out All the Rest - One More Light Live,Linkin Park,One More Light Live,2017-12-15,3KVVhZUYs77OSujKlvWEXy,54,0.00286,0.413,290720,0.694,0.00172,0,0.845,-7.984,1,0.0562,159.982,0.276
Good Goodbye (feat. Stormzy) - One More Light Live,Linkin Park,One More Light Live,2017-12-15,4IlB0WKdchGUPa4WoAYy5D,52,0.229,0.676,248880,0.865,0,9,0.714,-7.685,0,0.123,127.98,0.271
What I've Done - One More Light Live,Linkin Park,One More Light Live,2017-12-15,3WiZLAoMqPPN2ZIHEBYbkU,52,0.000509,0.531,273440,0.859,0.00265,5,0.963,-6.138,1,0.0383,119.994,0.29
In the End - One More Light Live,Linkin Park,One More Light Live,2017-12-15,2lWX5GTGfy6QGkwOzJORBC,53,0.0131,0.355,228187,0.89,0,3,0.912,-6.637,0,0.15,104.838,0.287
Sharp Edges - One More Light Live,Linkin Park,One More Light Live,2017-12-15,0OdZJLUjIwcp9zUM9cXLia,51,0.64,0.425,287547,0.453,1.16e-06,5,0.856,-8.354,1,0.0671,108.113,0.191
Numb - One More Light Live,Linkin Park,One More Light Live,2017-12-15,3r7ob3H6WJJA0mf8eT9jQZ,52,0.0857,0.326,230573,0.796,0,6,0.0919,-6.507,0,0.109,100.963,0.32
Heavy - One More Light Live,Linkin Park,One More Light Live,2017-12-15,1DXkvUT5CjmVqqMuW1NjwI,51,0.0582,0.461,176413,0.862,0,6,0.953,-7.135,0,0.0965,150.028,0.306
Bleed It Out - One More Light Live,Linkin Park,One More Light Live,2017-12-15,3DS8KFBg3J8IfRW5u8Cu2l,51,0.0016,0.372,297240,0.966,0,11,0.858,-6.049,1,0.134,140.092,0.214
Nobody Can Save Me,Linkin Park,One More Light,2017-05-19,3dJj6o9o1fRgrojWjailuz,65,0.0107,0.645,225547,0.688,0,11,0.186,-4.749,1,0.0341,139.957,0.433
Good Goodbye (feat. Pusha T and Stormzy),Linkin Park,One More Light,2017-05-19,650OeHTLxZAQmb4aEbGmaA,67,0.106,0.697,211413,0.84,0,9,0.748,-4.602,0,0.054,128.034,0.452
Talking to Myself,Linkin Park,One More Light,2017-05-19,7nAfXgeHfDO50upcOjJOaq,67,0.00184,0.593,231307,0.712,0,2,0.128,-6.325,0,0.0286,124.013,0.473
Battle Symphony,Linkin Park,One More Light,2017-05-19,3FQCJI2t5LTbsRPfYVBSVB,67,0.0369,0.653,216281,0.839,0,10,0.068,-5.077,1,0.0685,149.034,0.669
Invisible,Linkin Park,One More Light,2017-05-19,6OocN63GLU7NF0wHdewhID,64,0.0455,0.47,214347,0.74,0,11,0.091,-6.093,1,0.07,84.841,0.562
Heavy (feat. Kiiara),Linkin Park,One More Light,2017-05-19,104buTcnP2AsxqB7U1FIZ4,72,0.0484,0.59,169801,0.671,0,9,0.0604,-6.098,1,0.0706,149.982,0.438
Sorry for Now,Linkin Park,One More Light,2017-05-19,34isqXjbTstbYwl2MfdzDq,64,0.00995,0.608,203653,0.584,0,1,0.203,-6.652,1,0.0352,94.956,0.251
Halfway Right,Linkin Park,One More Light,2017-05-19,1KvyBpAxgllKW7bQb0GYCR,60,0.0134,0.655,217067,0.626,0,6,0.349,-7.155,0,0.045,134.028,0.498
One More Light,Linkin Park,One More Light,2017-05-19,3xXBsjrbG1xQIm1xv1cKOt,75,0.904,0.593,255067,0.2,0,8,0.0897,-11.063,1,0.0311,83.966,0.17
Sharp Edges,Linkin Park,One More Light,2017-05-19,6c0I7CfL9ziGZN8yYkLppP,65,0.145,0.652,178200,0.714,0,0,0.154,-5.678,1,0.0562,112.029,0.624
Keys To The Kingdom - Acapella,Linkin Park,The Hunting Party: Acapellas + Instrumentals,2014-06-16,7tfIKvebrzgBzxNZe1Hyox,38,0.899,0.563,218556,0.442,0,11,0.88,-5.755,1,0.881,183.723,0.451
All For Nothing (feat. Page Hamilton) - Acapella,Linkin Park,The Hunting Party: Acapellas + Instrumentals,2014-06-16,1iRceKmgsTM0Jzdffv67in,37,0.759,0.708,213662,0.573,0,4,0.124,-6.727,1,0.571,159.792,0.312
Guilty All The Same (feat. Rakim) - Acapella,Linkin Park,The Hunting Party: Acapellas + Instrumentals,2014-06-16,7lh5Qtd8qLz5pgXKJt5Jec,36,0.684,0.586,353596,0.226,0,11,0.105,-8.807,0,0.915,199.618,0.201
War - Acapella,Linkin Park,The Hunting Party: Acapellas + Instrumentals,2014-06-16,5EzXYmk7GMqhP5IKlNBLIi,34,0.711,0.447,131169,0.683,0.00125,9,0.274,-10.594,1,0.425,141.124,0.0735
Wastelands - Acapella,Linkin Park,The Hunting Party: Acapellas + Instrumentals,2014-06-16,5ptisa1hZfLqIsAYaBEMWT,34,0.766,0.611,195902,0.741,0,9,0.166,-4.657,0,0.862,83.584,0.358
Until It's Gone - Acapella,Linkin Park,The Hunting Party: Acapellas + Instrumentals,2014-06-16,1iayd5QSaeKsCEn21bSFmx,35,0.857,0.547,233249,0.394,0,7,0.495,-9.029,1,0.0681,114.725,0.338
Rebellion - Acapella,Linkin Park,The Hunting Party: Acapellas + Instrumentals,2014-06-16,4XDGzPuDpogrEba7nHWjgK,34,0.727,0.584,224169,0.681,0,10,0.282,-5.547,1,0.322,65.227,0.303
